dealer,player,dealer_win,player_win,push
"('J', 8, 18)","('K', 2, 12)",0.577,0.31,0.113
"(10, 3, 13)","('K', 2, 12)",0.497,0.503,0.0
"('J', 4, 14)","('K', 2, 12)",0.479,0.521,0.0
"('Q', 'K', 20)","('K', 2, 12)",0.8,0.095,0.105
"(5, 'Q', 15)","('K', 2, 12)",0.494,0.506,0.0
"(7, 'Q', 17)","('K', 2, 12)",0.47,0.442,0.088
"(9, 'Q', 19)","('K', 2, 12)",0.682,0.208,0.11
"('K', 'J', 20)","('K', 2, 12)",0.799,0.106,0.095
"('Q', 6, 16)","('K', 2, 12)",0.475,0.525,0.0
"(10, 4, 14)","('K', 2, 12)",0.463,0.537,0.0
"('J', 5, 15)","('K', 2, 12)",0.462,0.538,0.0
"(10, 'K', 20)","('K', 2, 12)",0.802,0.097,0.101
"(5, 'J', 15)","('K', 2, 12)",0.451,0.549,0.0
"(10, 9, 19)","('K', 2, 12)",0.695,0.201,0.104
"(7, 'J', 17)","('K', 2, 12)",0.488,0.415,0.097
"(9, 'J', 19)","('K', 2, 12)",0.67,0.21,0.12
"(10, 5, 15)","('K', 2, 12)",0.497,0.503,0.0
"(9, 'K', 19)","('K', 2, 12)",0.683,0.21,0.107
"('J', 6, 16)","('K', 2, 12)",0.48,0.52,0.0
"('J', 2, 12)","('K', 2, 12)",0.464,0.536,0.0
"('Q', 7, 17)","('K', 2, 12)",0.491,0.423,0.086
"('Q', 3, 13)","('K', 2, 12)",0.487,0.513,0.0
"(5, 10, 15)","('K', 2, 12)",0.467,0.533,0.0
"(7, 10, 17)","('K', 2, 12)",0.501,0.39,0.109
"(10, 6, 16)","('K', 2, 12)",0.483,0.517,0.0
"(6, 'J', 16)","('K', 2, 12)",0.472,0.528,0.0
"(10, 'Q', 20)","('K', 2, 12)",0.818,0.082,0.1
"(9, 10, 19)","('K', 2, 12)",0.696,0.195,0.109
"(8, 'J', 18)","('K', 2, 12)",0.602,0.302,0.096
"(10, 2, 12)","('K', 2, 12)",0.5,0.5,0.0
"(10, 7, 17)","('K', 2, 12)",0.493,0.41,0.097
"(10, 8, 18)","('K', 2, 12)",0.593,0.31,0.097
"(3, 'K', 13)","('K', 2, 12)",0.496,0.504,0.0
"('J', 'K', 20)","('K', 2, 12)",0.795,0.095,0.11
"('J', 9, 19)","('K', 2, 12)",0.671,0.221,0.108
"('Q', 4, 14)","('K', 2, 12)",0.472,0.528,0.0
"('Q', 9, 19)","('K', 2, 12)",0.671,0.213,0.116
"('Q', 10, 20)","('K', 2, 12)",0.801,0.106,0.093
"('Q', 5, 15)","('K', 2, 12)",0.483,0.517,0.0
"('J', 10, 20)","('K', 2, 12)",0.804,0.097,0.099
"(3, 'Q', 13)","('K', 2, 12)",0.478,0.522,0.0
"(10, 10, 20)","('K', 2, 12)",0.807,0.107,0.086
"('Q', 'Q', 20)","('K', 2, 12)",0.802,0.098,0.1
"(2, 'K', 12)","('K', 2, 12)",0.464,0.536,0.0
"('K', 'Q', 20)","('K', 2, 12)",0.788,0.095,0.117
"('K', 2, 12)","('K', 2, 12)",0.524,0.476,0.0
"(6, 'K', 16)","('K', 2, 12)",0.465,0.535,0.0
"(8, 'K', 18)","('K', 2, 12)",0.578,0.319,0.103
"('Q', 8, 18)","('K', 2, 12)",0.602,0.295,0.103
"(3, 'J', 13)","('K', 2, 12)",0.465,0.535,0.0
"('J', 'J', 20)","('K', 2, 12)",0.808,0.106,0.086
"('K', 8, 18)","('K', 2, 12)",0.615,0.291,0.094
"('K', 3, 13)","('K', 2, 12)",0.499,0.501,0.0
"('Q', 'J', 20)","('K', 2, 12)",0.799,0.112,0.089
"('K', 4, 14)","('K', 2, 12)",0.484,0.516,0.0
"('K', 'K', 20)","('K', 2, 12)",0.808,0.103,0.089
"('K', 9, 19)","('K', 2, 12)",0.698,0.201,0.101
"(3, 10, 13)","('K', 2, 12)",0.485,0.515,0.0
"(6, 'Q', 16)","('K', 2, 12)",0.48,0.52,0.0
"(8, 'Q', 18)","('K', 2, 12)",0.572,0.314,0.114
"('K', 5, 15)","('K', 2, 12)",0.465,0.535,0.0
"(5, 'K', 15)","('K', 2, 12)",0.469,0.531,0.0
"('K', 10, 20)","('K', 2, 12)",0.769,0.115,0.116
