dealer,player,dealer_win,player_win,push
"('J', 8, 18)","('K', 2, 12)",58.699999999999996,31.6,9.700000000000001
"(10, 3, 13)","('K', 2, 12)",47.9,52.1,0.0
"('J', 4, 14)","('K', 2, 12)",45.2,54.800000000000004,0.0
"('Q', 'K', 20)","('K', 2, 12)",77.5,11.0,11.5
"(5, 'Q', 15)","('K', 2, 12)",48.3,51.7,0.0
"(7, 'Q', 17)","('K', 2, 12)",47.099999999999994,42.1,10.8
"(9, 'Q', 19)","('K', 2, 12)",66.3,22.900000000000002,10.8
"('K', 'J', 20)","('K', 2, 12)",77.10000000000001,12.5,10.4
"('Q', 6, 16)","('K', 2, 12)",48.5,51.5,0.0
"(10, 4, 14)","('K', 2, 12)",49.6,50.4,0.0
"('J', 5, 15)","('K', 2, 12)",50.1,49.9,0.0
"(10, 'K', 20)","('K', 2, 12)",80.10000000000001,9.4,10.5
"(5, 'J', 15)","('K', 2, 12)",49.1,50.9,0.0
"(10, 9, 19)","('K', 2, 12)",68.7,22.1,9.2
"(7, 'J', 17)","('K', 2, 12)",49.1,41.9,9.0
"(9, 'J', 19)","('K', 2, 12)",67.60000000000001,21.099999999999998,11.3
"(10, 5, 15)","('K', 2, 12)",50.7,49.3,0.0
"(9, 'K', 19)","('K', 2, 12)",69.8,19.6,10.6
"('J', 6, 16)","('K', 2, 12)",48.699999999999996,51.300000000000004,0.0
"('J', 2, 12)","('K', 2, 12)",46.9,53.1,0.0
"('Q', 7, 17)","('K', 2, 12)",46.300000000000004,43.7,10.0
"('Q', 3, 13)","('K', 2, 12)",50.2,49.8,0.0
"(5, 10, 15)","('K', 2, 12)",48.3,51.7,0.0
"(7, 10, 17)","('K', 2, 12)",50.3,38.800000000000004,10.9
"(10, 6, 16)","('K', 2, 12)",49.6,50.4,0.0
"(6, 'J', 16)","('K', 2, 12)",48.5,51.5,0.0
"(10, 'Q', 20)","('K', 2, 12)",80.5,11.3,8.200000000000001
"(9, 10, 19)","('K', 2, 12)",69.19999999999999,19.8,11.0
"(8, 'J', 18)","('K', 2, 12)",61.4,28.499999999999996,10.100000000000001
"(10, 2, 12)","('K', 2, 12)",48.8,51.2,0.0
"(10, 7, 17)","('K', 2, 12)",49.7,41.0,9.3
"(10, 8, 18)","('K', 2, 12)",58.699999999999996,32.1,9.2
"(3, 'K', 13)","('K', 2, 12)",48.0,52.0,0.0
"('J', 'K', 20)","('K', 2, 12)",77.9,11.1,11.0
"('J', 9, 19)","('K', 2, 12)",66.9,22.1,11.0
"('Q', 4, 14)","('K', 2, 12)",48.4,51.6,0.0
"('Q', 9, 19)","('K', 2, 12)",69.19999999999999,20.7,10.100000000000001
"('Q', 10, 20)","('K', 2, 12)",81.3,8.7,10.0
"('Q', 5, 15)","('K', 2, 12)",49.4,50.6,0.0
"('J', 10, 20)","('K', 2, 12)",80.4,9.9,9.700000000000001
"(3, 'Q', 13)","('K', 2, 12)",48.3,51.7,0.0
"(10, 10, 20)","('K', 2, 12)",79.7,11.3,9.0
"('Q', 'Q', 20)","('K', 2, 12)",81.39999999999999,9.8,8.799999999999999
"(2, 'K', 12)","('K', 2, 12)",47.0,53.0,0.0
"('K', 'Q', 20)","('K', 2, 12)",79.2,10.9,9.9
"('K', 2, 12)","('K', 2, 12)",44.7,55.300000000000004,0.0
"(6, 'K', 16)","('K', 2, 12)",46.400000000000006,53.6,0.0
"(8, 'K', 18)","('K', 2, 12)",58.599999999999994,31.5,9.9
"('Q', 8, 18)","('K', 2, 12)",61.3,30.3,8.4
"(3, 'J', 13)","('K', 2, 12)",48.199999999999996,51.800000000000004,0.0
"('J', 'J', 20)","('K', 2, 12)",80.2,9.5,10.299999999999999
"('K', 8, 18)","('K', 2, 12)",58.8,31.1,10.100000000000001
"('K', 3, 13)","('K', 2, 12)",46.7,53.300000000000004,0.0
"('Q', 'J', 20)","('K', 2, 12)",80.0,10.2,9.8
"('K', 4, 14)","('K', 2, 12)",48.8,51.2,0.0
"('K', 'K', 20)","('K', 2, 12)",79.4,9.6,11.0
"('K', 9, 19)","('K', 2, 12)",68.60000000000001,20.7,10.7
"(3, 10, 13)","('K', 2, 12)",50.0,50.0,0.0
"(6, 'Q', 16)","('K', 2, 12)",49.6,50.4,0.0
"(8, 'Q', 18)","('K', 2, 12)",59.199999999999996,31.2,9.6
"('K', 5, 15)","('K', 2, 12)",50.1,49.9,0.0
"(5, 'K', 15)","('K', 2, 12)",49.4,50.6,0.0
"('K', 10, 20)","('K', 2, 12)",79.5,10.4,10.100000000000001
"('K', 6, 16)","('K', 2, 12)",49.1,50.9,0.0
"(4, 'K', 14)","('K', 2, 12)",47.3,52.7,0.0
"('J', 3, 13)","('K', 2, 12)",48.4,51.6,0.0
"(2, 10, 12)","('K', 2, 12)",48.8,51.2,0.0
"('K', 7, 17)","('K', 2, 12)",48.8,40.400000000000006,10.8
"(4, 10, 14)","('K', 2, 12)",48.5,51.5,0.0
"(6, 10, 16)","('K', 2, 12)",47.9,52.1,0.0
"(8, 10, 18)","('K', 2, 12)",58.9,30.7,10.4
"(2, 'Q', 12)","('K', 2, 12)",48.699999999999996,51.300000000000004,0.0
"(4, 'Q', 14)","('K', 2, 12)",49.9,50.1,0.0
"(10, 'J', 20)","('K', 2, 12)",76.8,12.3,10.9
"('J', 7, 17)","('K', 2, 12)",44.9,44.6,10.5
"('Q', 2, 12)","('K', 2, 12)",48.1,51.9,0.0
"(7, 'K', 17)","('K', 2, 12)",49.7,39.6,10.7
"(2, 'J', 12)","('K', 2, 12)",47.9,52.1,0.0
"(4, 'J', 14)","('K', 2, 12)",50.6,49.4,0.0
"('J', 'Q', 20)","('K', 2, 12)",79.9,10.5,9.6
"('J', 8, 18)","('Q', 2, 12)",58.3,33.1,8.6
"(10, 3, 13)","('Q', 2, 12)",49.1,50.9,0.0
"('J', 4, 14)","('Q', 2, 12)",47.599999999999994,52.400000000000006,0.0
"('Q', 'K', 20)","('Q', 2, 12)",77.2,11.700000000000001,11.1
"(5, 'Q', 15)","('Q', 2, 12)",51.1,48.9,0.0
"(7, 'Q', 17)","('Q', 2, 12)",48.9,40.2,10.9
"(9, 'Q', 19)","('Q', 2, 12)",67.80000000000001,21.7,10.5
"('K', 'J', 20)","('Q', 2, 12)",78.10000000000001,11.899999999999999,10.0
"('Q', 6, 16)","('Q', 2, 12)",48.3,51.7,0.0
"(10, 4, 14)","('Q', 2, 12)",47.0,53.0,0.0
"('J', 5, 15)","('Q', 2, 12)",51.4,48.6,0.0
"(10, 'K', 20)","('Q', 2, 12)",78.7,10.6,10.7
"(5, 'J', 15)","('Q', 2, 12)",46.5,53.5,0.0
"(10, 9, 19)","('Q', 2, 12)",66.5,22.0,11.5
"(7, 'J', 17)","('Q', 2, 12)",46.6,44.9,8.5
"(9, 'J', 19)","('Q', 2, 12)",70.0,20.8,9.2
"(10, 5, 15)","('Q', 2, 12)",47.0,53.0,0.0
"(9, 'K', 19)","('Q', 2, 12)",68.4,21.0,10.6
"('J', 6, 16)","('Q', 2, 12)",47.9,52.1,0.0
"('J', 2, 12)","('Q', 2, 12)",48.1,51.9,0.0
"('Q', 7, 17)","('Q', 2, 12)",47.699999999999996,40.9,11.4
"('Q', 3, 13)","('Q', 2, 12)",46.800000000000004,53.2,0.0
"(5, 10, 15)","('Q', 2, 12)",48.199999999999996,51.800000000000004,0.0
"(7, 10, 17)","('Q', 2, 12)",46.2,43.1,10.7
"(10, 6, 16)","('Q', 2, 12)",49.6,50.4,0.0
"(6, 'J', 16)","('Q', 2, 12)",49.7,50.3,0.0
"(10, 'Q', 20)","('Q', 2, 12)",77.60000000000001,11.700000000000001,10.7
"(9, 10, 19)","('Q', 2, 12)",68.30000000000001,22.5,9.2
"(8, 'J', 18)","('Q', 2, 12)",56.599999999999994,34.9,8.5
"(10, 2, 12)","('Q', 2, 12)",48.1,51.9,0.0
"(10, 7, 17)","('Q', 2, 12)",46.5,43.4,10.100000000000001
"(10, 8, 18)","('Q', 2, 12)",60.9,30.0,9.1
"(3, 'K', 13)","('Q', 2, 12)",52.300000000000004,47.699999999999996,0.0
"('J', 'K', 20)","('Q', 2, 12)",77.0,10.7,12.3
"('J', 9, 19)","('Q', 2, 12)",68.60000000000001,22.0,9.4
"('Q', 4, 14)","('Q', 2, 12)",47.699999999999996,52.300000000000004,0.0
"('Q', 9, 19)","('Q', 2, 12)",68.7,20.4,10.9
"('Q', 10, 20)","('Q', 2, 12)",80.0,10.8,9.2
"('Q', 5, 15)","('Q', 2, 12)",47.8,52.2,0.0
